datetime,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,vix_volume,spy_open,spy_high,spy_low,spy_close,spy_volume,date,time,bar_number,spx_ret_15m,spx_logret_15m,vix_ret_15m,spy_ret_15m,spy_dollar_volume_proxy,spy_cum_dollar_volume_proxy,spy_cum_volume,spy_vwap
2026-03-05 14:45:00-05:00,6784.02978515625,6790.93994140625,6779.2900390625,6784.9599609375,81830000,25.1200008392334,25.489999771118164,25.010000228881836,25.200000762939453,0.0,677.010009765625,677.72998046875,676.4500122070312,677.0900268554688,1888555,2026-03-05,14:45:00,22,0.00020492701553487258,0.0002049060208619835,0.0007942993455627434,7.60867674023391e-05,1278721717.2452798,48889359190.46397,71893036,680.0291364863763
2026-03-05 15:00:00-05:00,6785.0400390625,6804.3701171875,6778.56005859375,6802.02001953125,105493000,25.149999618530273,25.510000228881836,24.280000686645508,24.3700008392334,0.0,677.0700073242188,679.0900268554688,676.3900146484375,678.8150024414062,4084609,2026-03-05,15:00:00,23,0.0025143934071782947,0.00251123760891403,-0.03293650391180536,0.0025476310645846656,2769766615.051473,51659125805.51544,75977645,679.9253360052874
2026-03-05 15:15:00-05:00,6802.0498046875,6817.919921875,6798.27001953125,6808.83984375,115467000,24.350000381469727,24.469999313354492,23.610000610351562,23.920000076293945,0.0,678.8300170898438,680.4600219726562,678.3900146484375,679.4600219726562,4356601,2026-03-05,15:15:00,24,0.001002617487035895,0.0010021152018282464,-0.018465356891370854,0.0009502140184440844,2960034546.52653,54619160352.04197,80334246,679.8988360710073
2026-03-05 15:30:00-05:00,6808.97998046875,6818.830078125,6806.77001953125,6813.9599609375,127174000,23.959999084472656,23.989999771118164,23.5,23.739999771118164,0.0,679.469970703125,680.47998046875,679.1699829101562,679.97998046875,3100620,2026-03-05,15:30:00,25,0.0007519808520977111,0.000751698256157951,-0.007525096346223337,0.0007652525230021912,2108039132.1643066,56727199484.206276,83434866,679.8980115124326
2026-03-05 15:45:00-05:00,6813.91015625,6831.75,6808.6298828125,6829.91015625,390543000,23.65999984741211,23.8799991607666,23.219999313354492,23.3700008392334,0.0,679.97998046875,681.75,679.4099731445312,681.4400024414062,14175145,2026-03-05,15:45:00,26,0.0023408114230107913,0.0023380759918723015,-0.015585464846335162,0.002147154349529279,9651383610.309042,66378583094.51532,97610011,680.0386806074156
2026-03-06 09:30:00-05:00,6769.02978515625,6769.02978515625,6716.72998046875,6722.97998046875,123008981,27.579999923706055,28.56999969482422,27.559999465942383,28.020000457763672,0.0,673.4099731445312,674.0599975585938,670.4099731445312,670.97998046875,12421991,2026-03-06,09:30:00,1,-0.01565616140402648,-0.01578001349868785,0.19897301889368713,-0.015349879571467717,8345300384.80249,8345300384.80249,12421991,671.816650390625
2026-03-06 09:45:00-05:00,6723.2001953125,6732.39990234375,6711.56005859375,6724.02001953125,144478060,28.06999969482422,28.469999313354492,27.469999313354492,27.899999618530273,0.0,671.0,672.1300048828125,669.760009765625,670.8699951171875,5747628,2026-03-06,09:45:00,2,0.00015469911639209855,0.00015468715171707004,-0.004282685127513952,-0.00016391748601152223,3856198596.4697266,12201498981.272217,18169619,671.5330124023083
2026-03-06 10:00:00-05:00,6722.35009765625,6744.9599609375,6721.6298828125,6744.66015625,131892309,27.8700008392334,27.8700008392334,26.56999969482422,26.690000534057617,0.0,670.9099731445312,673.2999877929688,670.791015625,673.22998046875,4601860,2026-03-06,10:00:00,3,0.0030696126214373454,0.0030649109796367924,-0.043369143405615485,0.003517798334609079,3094476247.636312,15295975228.90853,22771479,671.7163706805575
2026-03-06 10:15:00-05:00,6744.93994140625,6755.91015625,6740.6298828125,6754.43994140625,111734512,26.600000381469727,26.719999313354492,25.8700008392334,26.149999618530273,0.0,673.1900024414062,674.3599853515625,672.6199951171875,674.1699829101562,3274870,2026-03-06,10:15:00,4,0.0014500041410074882,0.0014489539001161234,-0.02023233063777119,0.0013962575474606442,2206334460.190226,17502309689.098755,26046349,671.9678711630085
2026-03-06 10:30:00-05:00,6754.39013671875,6771.72998046875,6754.39013671875,6760.8798828125,105796843,26.020000457763672,26.06999969482422,25.309999465942383,25.950000762939453,0.0,674.1300048828125,675.9149780273438,674.1199951171875,674.719970703125,3800937,2026-03-06,10:30:00,5,0.0009534382513007866,0.0009529840177506799,-0.007648139904717133,0.0008157998826863189,2565321994.0011597,20067631683.099915,29847286,672.3435987814743
2026-03-06 10:45:00-05:00,6760.93017578125,6766.64013671875,6738.89013671875,6762.85009765625,96587493,25.950000762939453,26.809999465942383,25.6200008392334,25.829999923706055,0.0,674.7000122070312,675.4000244140625,672.4600219726562,674.9199829101562,3295029,2026-03-06,10:45:00,6,0.0002914139694685236,0.00029137151666525085,-0.00462430966109173,0.00029643736026185863,2221706285.7180176,22289337968.817932,33142315,672.5341295204614
2026-03-06 11:00:00-05:00,6763.06982421875,6773.419921875,6755.02978515625,6755.419921875,86030141,25.889999389648438,26.1200008392334,25.469999313354492,26.059999465942383,0.0,674.9600219726562,676.010009765625,674.0650024414062,674.1900024414062,2552189,2026-03-06,11:00:00,7,-0.0010986752144372947,-0.0010992792004813623,0.008904357062163193,-0.001081580761029488,1722102301.1568604,24011440269.974792,35694504,672.6929240976368
2026-03-06 11:15:00-05:00,6755.39013671875,6763.2001953125,6748.33984375,6756.7099609375,84447715,26.059999465942383,26.270000457763672,25.770000457763672,25.920000076293945,0.0,674.1799926757812,675.0800170898438,673.4349975585938,674.4199829101562,2406733,2026-03-06,11:15:00,8,0.00019096356368941692,0.0001909453324699939,-0.0053721946476400495,0.0003411211497013067,1622888138.4930625,25634328408.467854,38101237,672.7951748251074
2026-03-06 11:30:00-05:00,6756.9599609375,6764.93017578125,6747.759765625,6758.22998046875,75670000,25.920000076293945,26.280000686645508,25.639999389648438,25.899999618530273,0.0,674.4299926757812,675.22998046875,673.4000244140625,674.510009765625,1886588,2026-03-06,11:30:00,9,0.00022496444867958765,0.00022493914797117043,-0.0007716225966358792,0.00013348782324085207,1272277224.6518555,26906605633.11971,39987825,672.8699456176901
