strategy,otm_offset_points,execution_scenario,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,sharpe_style_per_trade,sortino_style_per_trade,median_capital_at_risk_usd,mean_capital_at_risk_usd,near_total_loss_rate
RQ1_ML,20.0,medium_cost,17,0.29411764705882354,1522.3000000000006,89.54705882352945,-193.0,0.15052301789288583,-1.0026881720430108,1.43863996542285,-1742.25,0.07390920644215247,0.1568803394156207,258.75,323.01176470588234,0.6470588235294118
MeanReversion60m,25.0,medium_cost,17,0.17647058823529413,515.9499999999999,30.349999999999994,-173.00000000000003,-0.0793654522028542,-1.0074441687344913,1.155727932632087,-1621.5,-0.038750772747620316,-0.07999935178378079,186.5,248.45294117647063,0.7647058823529411
RQ1_ML,25.0,medium_cost,17,0.17647058823529413,657.4499999999999,38.673529411764704,-173.00000000000003,-0.06928199108719456,-1.0080428954423593,1.2072895811328486,-1507.0,-0.03389914754348662,-0.07063205580649952,181.5,241.60000000000005,0.7647058823529411
MeanReversion60m,30.0,medium_cost,17,0.11764705882352941,-152.39999999999998,-8.96470588235294,-123.00000000000001,-0.41557037502586486,-1.0102389078498293,0.9430599663739958,-1402.5,-0.25381275103232936,-0.4188427320794622,131.5,193.52941176470588,0.8235294117647058
RQ1_ML,30.0,medium_cost,17,0.11764705882352941,-18.64999999999999,-1.0970588235294112,-123.00000000000001,-0.4161695506252301,-1.0114068441064639,0.9926654212958411,-1292.75,-0.2541387527181109,-0.41913511003770954,126.5,185.66176470588235,0.8235294117647058
MeanReversion60m,0.0,severe_cost,17,0.5294117647058824,7488.799999999999,440.5176470588235,188.00000000000009,0.4086536335851214,0.3547169811320757,2.454672597657388,-1762.0,0.3259497698437715,0.514569127385917,971.1,1030.3058823529411,0.29411764705882354
RQ1_ML,0.0,severe_cost,17,0.5294117647058824,7304.0,429.6470588235294,159.00000000000009,0.3867827681504384,0.18973747016706455,2.3027503299682515,-2391.5,0.30145892895775656,0.46834299809644203,992.0,1062.1411764705883,0.29411764705882354
MeanReversion60m,5.0,severe_cost,17,0.47058823529411764,5367.1,315.7117647058824,-108.99999999999999,0.3986832921824727,-0.25070821529745047,2.0891472868217056,-1804.6000000000004,0.27660523775411267,0.5066064706667737,708.2,789.9235294117648,0.29411764705882354
RQ1_ML,5.0,severe_cost,17,0.47058823529411764,5757.800000000001,338.6941176470589,-38.00000000000007,0.4468850357041415,-0.06495726495726507,2.121765897755611,-2363.0,0.30153990170919204,0.5498092181677615,712.6,809.3352941176471,0.35294117647058826
MeanReversion60m,10.0,severe_cost,17,0.47058823529411764,4054.0,238.47058823529412,-209.00000000000003,0.33993205130252857,-0.3355749831876261,1.9199210329256393,-1937.8999999999996,0.19814501598393358,0.36347390692814724,512.3999999999999,594.7294117647059,0.47058823529411764
RQ1_ML,10.0,severe_cost,17,0.47058823529411764,4400.4,258.8470588235294,-149.0,0.4090907629273404,-0.3355749831876261,1.9848701880035808,-1986.0,0.23812552319278926,0.45401910526667805,529.9999999999999,605.1764705882352,0.4117647058823529
