session_date,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode
2025-05-07,call,30,selected,O:SPXW250507C05655000,SPX,2025-05-07,5655,5655.49,5625.49,29.51000000000022,european,100,XCBO,SPX,as_of
2025-05-07,put,0,selected,O:SPXW250507P05625000,SPX,2025-05-07,5625,5625.49,5625.49,-0.4899999999997817,european,100,XCBO,SPX,as_of
2025-05-07,put,5,selected,O:SPXW250507P05620000,SPX,2025-05-07,5620,5620.49,5625.49,-5.489999999999782,european,100,XCBO,SPX,as_of
2025-05-07,put,10,selected,O:SPXW250507P05615000,SPX,2025-05-07,5615,5615.49,5625.49,-10.489999999999782,european,100,XCBO,SPX,as_of
2025-05-07,put,15,selected,O:SPXW250507P05610000,SPX,2025-05-07,5610,5610.49,5625.49,-15.489999999999782,european,100,XCBO,SPX,as_of
2025-05-07,put,20,selected,O:SPXW250507P05605000,SPX,2025-05-07,5605,5605.49,5625.49,-20.48999999999978,european,100,XCBO,SPX,as_of
2025-05-07,put,25,selected,O:SPXW250507P05600000,SPX,2025-05-07,5600,5600.49,5625.49,-25.48999999999978,european,100,XCBO,SPX,as_of
2025-05-07,put,30,selected,O:SPXW250507P05595000,SPX,2025-05-07,5595,5595.49,5625.49,-30.48999999999978,european,100,XCBO,SPX,as_of
2025-11-06,call,0,selected,O:SPXW251106C06750000,SPX,2025-11-06,6750,6750.46,6750.46,-0.4600000000000364,european,100,XCBO,SPX,as_of
2025-11-06,call,5,selected,O:SPXW251106C06755000,SPX,2025-11-06,6755,6755.46,6750.46,4.539999999999964,european,100,XCBO,SPX,as_of
2025-11-06,call,10,selected,O:SPXW251106C06760000,SPX,2025-11-06,6760,6760.46,6750.46,9.539999999999964,european,100,XCBO,SPX,as_of
2025-11-06,call,15,selected,O:SPXW251106C06765000,SPX,2025-11-06,6765,6765.46,6750.46,14.539999999999964,european,100,XCBO,SPX,as_of
2025-11-06,call,20,selected,O:SPXW251106C06770000,SPX,2025-11-06,6770,6770.46,6750.46,19.539999999999964,european,100,XCBO,SPX,as_of
2025-11-06,call,25,selected,O:SPXW251106C06775000,SPX,2025-11-06,6775,6775.46,6750.46,24.539999999999964,european,100,XCBO,SPX,as_of
2025-11-06,call,30,selected,O:SPXW251106C06780000,SPX,2025-11-06,6780,6780.46,6750.46,29.539999999999964,european,100,XCBO,SPX,as_of
2025-11-06,put,0,selected,O:SPXW251106P06750000,SPX,2025-11-06,6750,6750.46,6750.46,-0.4600000000000364,european,100,XCBO,SPX,as_of
2025-11-06,put,5,selected,O:SPXW251106P06745000,SPX,2025-11-06,6745,6745.46,6750.46,-5.460000000000036,european,100,XCBO,SPX,as_of
2025-11-06,put,10,selected,O:SPXW251106P06740000,SPX,2025-11-06,6740,6740.46,6750.46,-10.460000000000036,european,100,XCBO,SPX,as_of
2025-11-06,put,15,selected,O:SPXW251106P06735000,SPX,2025-11-06,6735,6735.46,6750.46,-15.460000000000036,european,100,XCBO,SPX,as_of
2025-11-06,put,20,selected,O:SPXW251106P06730000,SPX,2025-11-06,6730,6730.46,6750.46,-20.460000000000036,european,100,XCBO,SPX,as_of
2025-11-06,put,25,selected,O:SPXW251106P06725000,SPX,2025-11-06,6725,6725.46,6750.46,-25.460000000000036,european,100,XCBO,SPX,as_of
2025-11-06,put,30,selected,O:SPXW251106P06720000,SPX,2025-11-06,6720,6720.46,6750.46,-30.460000000000036,european,100,XCBO,SPX,as_of
2025-11-20,call,0,selected,O:SPXW251120C06595000,SPX,2025-11-20,6595,6595.8,6595.8,-0.8000000000001819,european,100,XCBO,SPX,as_of
2025-11-20,call,5,selected,O:SPXW251120C06600000,SPX,2025-11-20,6600,6600.8,6595.8,4.199999999999818,european,100,XCBO,SPX,as_of
2025-11-20,call,10,selected,O:SPXW251120C06605000,SPX,2025-11-20,6605,6605.8,6595.8,9.199999999999818,european,100,XCBO,SPX,as_of
2025-11-20,call,15,selected,O:SPXW251120C06610000,SPX,2025-11-20,6610,6610.8,6595.8,14.199999999999818,european,100,XCBO,SPX,as_of
2025-11-20,call,20,selected,O:SPXW251120C06615000,SPX,2025-11-20,6615,6615.8,6595.8,19.199999999999818,european,100,XCBO,SPX,as_of
2025-11-20,call,25,selected,O:SPXW251120C06620000,SPX,2025-11-20,6620,6620.8,6595.8,24.199999999999818,european,100,XCBO,SPX,as_of
2025-11-20,call,30,selected,O:SPXW251120C06625000,SPX,2025-11-20,6625,6625.8,6595.8,29.199999999999818,european,100,XCBO,SPX,as_of
2025-11-20,put,0,selected,O:SPXW251120P06595000,SPX,2025-11-20,6595,6595.8,6595.8,-0.8000000000001819,european,100,XCBO,SPX,as_of
2025-11-20,put,5,selected,O:SPXW251120P06590000,SPX,2025-11-20,6590,6590.8,6595.8,-5.800000000000182,european,100,XCBO,SPX,as_of
2025-11-20,put,10,selected,O:SPXW251120P06585000,SPX,2025-11-20,6585,6585.8,6595.8,-10.800000000000182,european,100,XCBO,SPX,as_of
2025-11-20,put,15,selected,O:SPXW251120P06580000,SPX,2025-11-20,6580,6580.8,6595.8,-15.800000000000182,european,100,XCBO,SPX,as_of
2025-11-20,put,20,selected,O:SPXW251120P06575000,SPX,2025-11-20,6575,6575.8,6595.8,-20.800000000000182,european,100,XCBO,SPX,as_of
2025-11-20,put,25,selected,O:SPXW251120P06570000,SPX,2025-11-20,6570,6570.8,6595.8,-25.800000000000182,european,100,XCBO,SPX,as_of
2025-11-20,put,30,selected,O:SPXW251120P06565000,SPX,2025-11-20,6565,6565.8,6595.8,-30.800000000000182,european,100,XCBO,SPX,as_of
2026-02-04,call,0,selected,O:SPXW260204C06905000,SPX,2026-02-04,6905,6904.85,6904.85,0.1499999999996362,european,100,XCBO,SPX,as_of
2026-02-04,call,5,selected,O:SPXW260204C06910000,SPX,2026-02-04,6910,6909.85,6904.85,5.149999999999636,european,100,XCBO,SPX,as_of
2026-02-04,call,10,selected,O:SPXW260204C06915000,SPX,2026-02-04,6915,6914.85,6904.85,10.149999999999636,european,100,XCBO,SPX,as_of
2026-02-04,call,15,selected,O:SPXW260204C06920000,SPX,2026-02-04,6920,6919.85,6904.85,15.149999999999636,european,100,XCBO,SPX,as_of
2026-02-04,call,20,selected,O:SPXW260204C06925000,SPX,2026-02-04,6925,6924.85,6904.85,20.149999999999636,european,100,XCBO,SPX,as_of
2026-02-04,call,25,selected,O:SPXW260204C06930000,SPX,2026-02-04,6930,6929.85,6904.85,25.149999999999636,european,100,XCBO,SPX,as_of
2026-02-04,call,30,selected,O:SPXW260204C06935000,SPX,2026-02-04,6935,6934.85,6904.85,30.149999999999636,european,100,XCBO,SPX,as_of
2026-02-04,put,0,selected,O:SPXW260204P06905000,SPX,2026-02-04,6905,6904.85,6904.85,0.1499999999996362,european,100,XCBO,SPX,as_of
2026-02-04,put,5,selected,O:SPXW260204P06900000,SPX,2026-02-04,6900,6899.85,6904.85,-4.850000000000364,european,100,XCBO,SPX,as_of
2026-02-04,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of
2026-02-04,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of
2026-02-04,put,20,selected,O:SPXW260204P06885000,SPX,2026-02-04,6885,6884.85,6904.85,-19.850000000000364,european,100,XCBO,SPX,as_of
2026-02-04,put,25,selected,O:SPXW260204P06880000,SPX,2026-02-04,6880,6879.85,6904.85,-24.850000000000364,european,100,XCBO,SPX,as_of
2026-02-04,put,30,selected,O:SPXW260204P06875000,SPX,2026-02-04,6875,6874.85,6904.85,-29.850000000000364,european,100,XCBO,SPX,as_of
2026-02-05,call,0,selected,O:SPXW260205C06810000,SPX,2026-02-05,6810,6812.4400000000005,6812.4400000000005,-2.4400000000005093,european,100,XCBO,SPX,as_of
2026-02-05,call,5,selected,O:SPXW260205C06815000,SPX,2026-02-05,6815,6817.4400000000005,6812.4400000000005,2.5599999999994907,european,100,XCBO,SPX,as_of
2026-02-05,call,10,selected,O:SPXW260205C06820000,SPX,2026-02-05,6820,6822.4400000000005,6812.4400000000005,7.559999999999491,european,100,XCBO,SPX,as_of
2026-02-05,call,15,selected,O:SPXW260205C06825000,SPX,2026-02-05,6825,6827.4400000000005,6812.4400000000005,12.55999999999949,european,100,XCBO,SPX,as_of
2026-02-05,call,20,selected,O:SPXW260205C06830000,SPX,2026-02-05,6830,6832.4400000000005,6812.4400000000005,17.55999999999949,european,100,XCBO,SPX,as_of
2026-02-05,call,25,selected,O:SPXW260205C06835000,SPX,2026-02-05,6835,6837.4400000000005,6812.4400000000005,22.55999999999949,european,100,XCBO,SPX,as_of
2026-02-05,call,30,selected,O:SPXW260205C06840000,SPX,2026-02-05,6840,6842.4400000000005,6812.4400000000005,27.55999999999949,european,100,XCBO,SPX,as_of
2026-02-05,put,0,selected,O:SPXW260205P06810000,SPX,2026-02-05,6810,6812.4400000000005,6812.4400000000005,-2.4400000000005093,european,100,XCBO,SPX,as_of
2026-02-05,put,5,selected,O:SPXW260205P06805000,SPX,2026-02-05,6805,6807.4400000000005,6812.4400000000005,-7.440000000000509,european,100,XCBO,SPX,as_of
2026-02-05,put,10,selected,O:SPXW260205P06800000,SPX,2026-02-05,6800,6802.4400000000005,6812.4400000000005,-12.44000000000051,european,100,XCBO,SPX,as_of
2026-02-05,put,15,selected,O:SPXW260205P06795000,SPX,2026-02-05,6795,6797.4400000000005,6812.4400000000005,-17.44000000000051,european,100,XCBO,SPX,as_of
2026-02-05,put,20,selected,O:SPXW260205P06790000,SPX,2026-02-05,6790,6792.4400000000005,6812.4400000000005,-22.44000000000051,european,100,XCBO,SPX,as_of
2026-02-05,put,25,selected,O:SPXW260205P06785000,SPX,2026-02-05,6785,6787.4400000000005,6812.4400000000005,-27.44000000000051,european,100,XCBO,SPX,as_of
2026-02-05,put,30,selected,O:SPXW260205P06780000,SPX,2026-02-05,6780,6782.4400000000005,6812.4400000000005,-32.44000000000051,european,100,XCBO,SPX,as_of
2026-02-11,call,0,selected,O:SPXW260211C06950000,SPX,2026-02-11,6950,6949.9400000000005,6949.9400000000005,0.05999999999949068,european,100,XCBO,SPX,as_of
2026-02-11,call,5,selected,O:SPXW260211C06955000,SPX,2026-02-11,6955,6954.9400000000005,6949.9400000000005,5.059999999999491,european,100,XCBO,SPX,as_of
2026-02-11,call,10,selected,O:SPXW260211C06960000,SPX,2026-02-11,6960,6959.9400000000005,6949.9400000000005,10.05999999999949,european,100,XCBO,SPX,as_of
2026-02-11,call,15,selected,O:SPXW260211C06965000,SPX,2026-02-11,6965,6964.9400000000005,6949.9400000000005,15.05999999999949,european,100,XCBO,SPX,as_of
2026-02-11,call,20,selected,O:SPXW260211C06970000,SPX,2026-02-11,6970,6969.9400000000005,6949.9400000000005,20.05999999999949,european,100,XCBO,SPX,as_of
