strategy,policy,otm_offset_points,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,median_holding_minutes,mean_holding_minutes,near_total_loss_rate,mean_mfe,mean_mae,ambiguous_bar_rate
RQ1_ML,breakeven_after_50,20,17,0.0,-1203.335,-70.78441176470588,-37.12499999999996,-0.2979262045579186,-0.06382978723404255,0.0,-1189.835,10.0,17.41176470588235,0.058823529411764705,2.6279105902029762,-0.8275841138439277,0.0
RQ1_ML,breakeven_after_50,25,17,0.0,-1169.1575000000003,-68.77397058823531,-60.49999999999999,-0.39076252673654804,-0.5504115226337448,0.0,-1156.1575000000003,10.0,13.882352941176471,0.058823529411764705,2.805715276683617,-0.8658659862610594,0.0
RQ1_ML,breakeven_after_50,30,17,0.0,-814.675,-47.92205882352941,-40.80000000000001,-0.3906968029332409,-0.5346779900920028,0.0,-801.6750000000001,11.0,16.41176470588235,0.058823529411764705,2.6582493405725343,-0.8705350982614297,0.0
RQ1_ML,hold_to_close,0,17,0.6470588235294118,9551.0,561.8235294117648,253.50000000000006,0.5348464936547819,0.3170731707317074,2.843199691224007,-2143.2000000000007,59.0,58.94117647058823,0.29411764705882354,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,hold_to_close,5,17,0.5294117647058824,7485.900000000001,440.34705882352944,20.000000000000043,0.6019278378467822,0.03584229390681011,2.606623170365283,-2109.5,59.0,58.76470588235294,0.35294117647058826,1.8851857094303441,-0.5965448032421833,0.0
RQ1_ML,hold_to_close,10,17,0.47058823529411764,5721.200000000001,336.54117647058825,-138.0,0.5622873704495098,-0.2646229739252996,2.391004133236081,-1858.0,59.0,59.0,0.4117647058823529,2.17147794998748,-0.6561506683896176,0.0
RQ1_ML,hold_to_close,15,17,0.35294117647058826,3011.8999999999996,177.1705882352941,-151.5,0.3679781567347212,-0.6023094315245477,1.803119792013866,-1851.5,59.0,58.94117647058823,0.47058823529411764,2.43819680532654,-0.7201131752743566,0.0
RQ1_ML,hold_to_close,20,17,0.29411764705882354,1522.3000000000006,89.54705882352945,-193.0,0.15052301789288583,-1.0026881720430108,1.43863996542285,-1742.25,59.0,58.94117647058823,0.6470588235294118,2.6279105902029762,-0.8275841138439277,0.0
RQ1_ML,hold_to_close,25,17,0.17647058823529413,657.4499999999999,38.673529411764704,-173.00000000000003,-0.06928199108719456,-1.0080428954423593,1.2072895811328486,-1507.0,59.0,58.8235294117647,0.7647058823529411,2.805715276683617,-0.8658659862610594,0.0
RQ1_ML,hold_to_close,30,17,0.11764705882352941,-18.64999999999999,-1.0970588235294112,-123.00000000000001,-0.4161695506252301,-1.0114068441064639,0.9926654212958411,-1292.75,59.0,58.64705882352941,0.8235294117647058,2.6582493405725343,-0.8705350982614297,0.0
RQ1_ML,stop40_tp80,0,17,0.47058823529411764,2665.0769999999998,156.76923529411764,-215.205,0.10313630554428217,-0.4316474291710388,1.7383195473802533,-1705.1475000000005,10.0,10.882352941176471,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,stop40_tp80,5,17,0.4117647058823529,1562.8565000000003,91.93273529411766,-210.68999999999997,0.03460105872382431,-0.43285922418503003,1.5332358772066454,-1946.6515,6.0,7.764705882352941,0.0,1.8851857094303441,-0.5965448032421833,0.0
RQ1_ML,stop40_tp80,10,17,0.4117647058823529,1352.039,79.53170588235294,-147.48000000000002,0.030475152502256832,-0.43380513814832766,1.636299460619988,-1393.4470000000001,6.0,6.647058823529412,0.0,2.17147794998748,-0.6561506683896176,0.0
RQ1_ML,stop40_tp80,15,17,0.4117647058823529,1177.5044999999998,69.26497058823529,-103.30000000000001,0.021846457954939884,-0.43519867549668884,1.773745010103001,-973.0750000000003,6.0,6.764705882352941,0.0,2.43819680532654,-0.7201131752743566,0.0
RQ1_ML,stop40_tp80,20,17,0.4117647058823529,1028.3319999999999,60.49011764705882,-73.0,0.004584954914076655,-0.4391785150078989,1.9279760320174706,-703.8500000000003,3.0,6.352941176470588,0.0,2.6279105902029762,-0.8275841138439277,0.0
RQ1_ML,stop40_tp80,25,17,0.4117647058823529,778.7620000000001,45.80952941176471,-51.0,-0.018451067917531077,-0.4510288065843622,1.9253955522283417,-530.4,2.0,4.647058823529412,0.058823529411764705,2.805715276683617,-0.8658659862610594,0.0
RQ1_ML,stop40_tp80,30,17,0.4117647058823529,647.7375000000001,38.10220588235295,-40.2,-0.05180154803737378,-0.47359050445103856,2.0038512055358177,-403.79999999999995,3.0,5.352941176470588,0.058823529411764705,2.6582493405725343,-0.8705350982614297,0.0
RQ1_ML,stop50_only,0,17,0.47058823529411764,8529.275,501.7220588235294,-262.08750000000003,0.48288175717384985,-0.5265477439664219,2.8894426999396345,-2007.843749999999,49.0,38.0,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,stop50_only,5,17,0.35294117647058826,4805.5325,282.6783823529412,-333.75,0.28894199091520134,-0.5277673545966228,2.202279574707892,-1653.0275000000001,38.0,35.1764705882353,0.0,1.8851857094303441,-0.5965448032421833,0.0
