session_date,rows,first_time_et,last_time_et,exact_spx_1459,exact_spx_1559,missing_spx_final_120m,missing_vix_final_120m,max_vix_staleness_final_120m,vix_1359_valid,vix_1429_valid,vix_1444_valid,vix_1459_valid,strict_eligible,relaxed_eligible
2025-06-27,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-06-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-01,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-02,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-07-03,211,09:30:00,13:00:00,False,False,0,0,0.0,False,False,False,False,False,False
2025-07-07,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-08,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-09,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-10,390,09:30:00,15:59:00,True,True,0,10,120.0,True,True,True,True,False,False
2025-07-11,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-14,390,09:30:00,15:59:00,True,True,0,4,120.0,True,True,True,True,False,True
2025-07-15,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-16,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-07-17,390,09:30:00,15:59:00,True,True,0,3,120.0,True,True,False,True,False,False
2025-07-18,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-07-21,390,09:30:00,15:59:00,True,True,0,6,120.0,True,True,True,True,False,False
2025-07-22,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-07-23,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-07-24,390,09:30:00,15:59:00,True,True,0,1,120.0,True,True,True,False,False,False
2025-07-25,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-07-28,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-29,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-30,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-07-31,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-08-01,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-08-04,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-08-05,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-08-06,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-08-07,390,09:30:00,15:59:00,True,True,0,0,0.0,True,True,True,True,True,True
2025-08-08,390,09:30:00,15:59:00,True,True,0,0,60.0,True,True,True,True,True,True
2025-08-11,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
2025-08-12,390,09:30:00,15:59:00,True,True,0,0,120.0,True,True,True,True,True,True
