task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ3 Large Movement,Relaxed,Full,RBF SVC,0.5742574257425742,0.6937012263099219,0.3387096774193548,0.9130434782608695,0.49411764705882355,0.33369172497425065,0.765886287625418,0.5189906989966206,0.22772277227722773,0.29126792671939294,2.27904611298516,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-0.6556183905576226,0.5813953488372093,0.5866759769070691,"{""model__C"": 0.09354759507486173, ""model__gamma"": 0.0035639374271719255}"
RQ3 Large Movement,Relaxed,Reduced,Logistic ElasticNet,0.5148514851485149,0.5428571428571429,0.47368421052631576,0.8,0.5950413223140496,0.09871352947927473,0.6833333333333333,0.6205617610793238,0.44554455445544555,0.17501720662387826,1.392816397089149,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.21708662686661584,0.46153846153846156,0.40502645502645507,"{""model__C"": 0.6357931539223851, ""model__l1_ratio"": 0.41125548908663523}"
RQ3 Large Movement,Relaxed,Reduced,Logistic ElasticNet,0.7326732673267327,0.6736263736263737,0.20689655172413793,0.6,0.3076923076923077,0.22924566886095737,0.7252747252747254,0.20962278949121052,0.09900990099009901,0.1106128885011115,2.117190173861226,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.5,0.6666666666666666,0.5386212280285383,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ3 Large Movement,Relaxed,Reduced,Logistic ElasticNet,0.7227722772277227,0.7285395763656632,0.4358974358974359,0.7391304347826086,0.5483870967741935,0.39370822227177776,0.7720178372352285,0.5564922676482651,0.22772277227722773,0.3287694953710374,2.443726914455425,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.47583304106134566,0.6233766233766234,0.5637180043053823,"{""model__C"": 0.016360281948189306, ""model__l1_ratio"": 0.38798251760716695}"
RQ3 Large Movement,Relaxed,Reduced,Extra Trees,0.6633663366336634,0.6811507936507937,0.5846153846153846,0.8444444444444444,0.6909090909090909,0.37597812561754745,0.7063492063492063,0.5756122589459448,0.44554455445544555,0.13006770449049926,1.2919297367453428,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.48878585523188234,0.4444444444444444,0.3768518518518518,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 17, ""model__n_estimators"": 401}"
RQ3 Large Movement,Relaxed,Reduced,Extra Trees,0.7920792079207921,0.573076923076923,0.17647058823529413,0.3,0.2222222222222222,0.11667205331240524,0.8164835164835165,0.2657017543859649,0.09900990099009901,0.16669185339586587,2.683587719298245,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.5096744382992884,0.6785714285714286,0.5532055045946646,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 11, ""model__min_samples_split"": 3, ""model__n_estimators"": 214}"
RQ3 Large Movement,Relaxed,Reduced,Extra Trees,0.6237623762376238,0.6797658862876255,0.35294117647058826,0.782608695652174,0.4864864864864865,0.3015632430083944,0.7748049052396878,0.5108466871247135,0.22772277227722773,0.2831239148474858,2.243283278243307,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.49806426830212497,0.6197183098591549,0.5911688325009744,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 17, ""model__n_estimators"": 433}"
RQ3 Large Movement,Relaxed,Reduced,Histogram Gradient Boosting,0.6534653465346535,0.6569444444444444,0.5961538461538461,0.6888888888888889,0.6391752577319587,0.3121594603620539,0.673611111111111,0.5553017283984153,0.44554455445544555,0.10975717394296974,1.246343879294221,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.02770440935632384,0.631578947368421,0.5098148148148148,"{""model__l2_regularization"": 0.025529063983213446, ""model__learning_rate"": 0.1311485961433001, ""model__max_bins"": 128, ""model__max_iter"": 443, ""model__max_leaf_nodes"": 5, ""model__min_samples_leaf"": 11}"
RQ3 Large Movement,Relaxed,Reduced,Histogram Gradient Boosting,0.8217821782178217,0.545054945054945,0.16666666666666666,0.2,0.18181818181818182,0.08317781924995887,0.7604395604395604,0.32059066995184804,0.09900990099009901,0.22158076896174903,3.237965766513665,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,0.5887117755438086,0.6476190476190476,0.4809890408215208,"{""model__l2_regularization"": 0.00955609686736343, ""model__learning_rate"": 0.014635180564549342, ""model__max_bins"": 255, ""model__max_iter"": 212, ""model__max_leaf_nodes"": 23, ""model__min_samples_leaf"": 24}"
RQ3 Large Movement,Relaxed,Reduced,Histogram Gradient Boosting,0.7425742574257426,0.7566889632107023,0.46153846153846156,0.782608695652174,0.5806451612903226,0.44220155208817963,0.7552954292084727,0.41945990518871323,0.22772277227722773,0.1917371329114855,1.8419761053939145,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,0.4829384077767237,0.5942028985507246,0.5186409215825493,"{""model__l2_regularization"": 17.937759028671657, ""model__learning_rate"": 0.051876918809428636, ""model__max_bins"": 32, ""model__max_iter"": 195, ""model__max_leaf_nodes"": 26, ""model__min_samples_leaf"": 11}"
RQ3 Large Movement,Relaxed,Reduced,RBF SVC,0.6435643564356436,0.6458333333333333,0.5882352941176471,0.6666666666666666,0.625,0.2899459043528299,0.7146825396825397,0.6597787773191837,0.44554455445544555,0.2142342228637381,1.48083681131639,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,0.38497354789618343,0.42857142857142855,0.40292207792207796,"{""model__C"": 29.281583812996097, ""model__gamma"": 0.0007658010959494785}"
RQ3 Large Movement,Relaxed,Reduced,RBF SVC,0.09900990099009901,0.5,0.09900990099009901,1.0,0.18018018018018017,0.0,0.8142857142857143,0.2500116144909149,0.09900990099009901,0.1510017135008159,2.5251173063582404,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-0.7947135296817814,0.5340909090909091,0.5654990469903955,"{""model__C"": 0.0648261712278685, ""model__gamma"": 0.006618463633643239}"
RQ3 Large Movement,Relaxed,Reduced,RBF SVC,0.6732673267326733,0.7118171683389075,0.391304347826087,0.782608695652174,0.5217391304347826,0.3567320358549165,0.7642140468227424,0.4829765005473933,0.22772277227722773,0.25525372827016557,2.1208968067515963,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-0.2273270123115998,0.6122448979591837,0.5746462559460133,"{""model__C"": 0.5996225871335351, ""model__gamma"": 0.007784520721505635}"
