research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,ret_last_60m,SPX momentum,-0.06244297647445709,0.030854063556085397
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,momentum_accel_60m_vs_prior,SPX momentum,-0.15617405740500745,0.10148347241714674
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,vix_level_1500,VIX,0.033700782462709,0.04370839901309386
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,vix_ret_last_15m,VIX,0.29812564745574555,0.19804124166085826
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,vix_ret_last_60m,VIX,-0.0765639598801104,0.03667137814994552
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,realized_vol_30m,Realised volatility,-0.020716466854882754,0.020442217662648907
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,realized_vol_120m,Realised volatility,0.03261936665784937,0.04308318968096403
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,rv_open_to_1500,Realised volatility,0.02464617000216789,0.04386969553109466
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,spy_volume_last_60m,SPY volume,0.5031508170179924,0.2574229693762841
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,spy_volume_accel_60m_vs_avg,SPY volume,0.03959481801495572,0.1381515177542146
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,spy_dist_from_vwap_pct,Price position,0.0008920406979994411,0.024210736574148045
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,position_in_day_range,Price position,0.07449064092318194,0.02656106257660203
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,2,atr_pct_open_to_1500,True range,0.07688641887288217,0.06428668826845853
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,ret_open_to_1500,SPX momentum,0.018166324218471797,0.04826548188441152
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,ret_last_15m,SPX momentum,-0.3682344505718639,0.10152396244973849
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,ret_last_60m,SPX momentum,-0.0034344869370943167,0.13912564440892375
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,momentum_accel_60m_vs_prior,SPX momentum,0.04013188853920831,0.09100706565536577
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,vix_level_1500,VIX,0.06497042162591082,0.12476960749236043
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,vix_ret_last_15m,VIX,-0.3564084152264025,0.10053464275143764
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,vix_ret_last_60m,VIX,0.04956285638070792,0.09153269656997601
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,realized_vol_30m,Realised volatility,-0.027066061267663956,0.0667499127591217
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,realized_vol_120m,Realised volatility,-0.029837838281878602,0.10390442618281452
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,rv_open_to_1500,Realised volatility,-0.03121931997716141,0.12536165616753184
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,spy_volume_last_60m,SPY volume,-0.09429065624845494,0.1465394664500596
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,spy_volume_accel_60m_vs_avg,SPY volume,-0.03885678827561856,0.11149748588703202
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,spy_dist_from_vwap_pct,Price position,-0.014797009825625018,0.05299772875941168
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,position_in_day_range,Price position,-0.0050482693523589365,0.030914261638526994
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,3,atr_pct_open_to_1500,True range,0.10910748112060906,0.19249786287345114
RQ3 Large Movement,Strict,Full,RBF SVC,1,ret_open_to_1500,SPX momentum,0.011512397553258358,0.006765801431083144
RQ3 Large Movement,Strict,Full,RBF SVC,1,ret_last_15m,SPX momentum,0.04106197103249353,0.014013883035198299
RQ3 Large Movement,Strict,Full,RBF SVC,1,ret_last_30m,SPX momentum,-0.021348003027452555,0.006304015040396237
RQ3 Large Movement,Strict,Full,RBF SVC,1,ret_last_60m,SPX momentum,-0.0074001647685445595,0.007068916032097222
RQ3 Large Movement,Strict,Full,RBF SVC,1,momentum_accel_60m_vs_prior,SPX momentum,-0.003978681423754554,0.011586409644966949
RQ3 Large Movement,Strict,Full,RBF SVC,1,vix_level_1500,VIX,0.0016335637697834748,0.001247007012364977
RQ3 Large Movement,Strict,Full,RBF SVC,1,vix_ret_last_15m,VIX,0.030892474237008093,0.00912287958923807
RQ3 Large Movement,Strict,Full,RBF SVC,1,vix_ret_last_30m,VIX,-0.004050053740801673,0.0007784153014336072
RQ3 Large Movement,Strict,Full,RBF SVC,1,vix_ret_last_60m,VIX,-0.007534704505957157,0.003993243604567112
RQ3 Large Movement,Strict,Full,RBF SVC,1,realized_vol_30m,Realised volatility,0.0040095951453263225,0.010306592533459806
RQ3 Large Movement,Strict,Full,RBF SVC,1,realized_vol_60m,Realised volatility,0.0070114091411844996,0.01179730020761388
RQ3 Large Movement,Strict,Full,RBF SVC,1,realized_vol_120m,Realised volatility,0.01476938117030847,0.011680040112162914
RQ3 Large Movement,Strict,Full,RBF SVC,1,rv_open_to_1500,Realised volatility,0.025321982140211953,0.010414111438540296
RQ3 Large Movement,Strict,Full,RBF SVC,1,spy_volume_last_30m,SPY volume,0.00939213225178454,0.007550413123878452
RQ3 Large Movement,Strict,Full,RBF SVC,1,spy_volume_last_60m,SPY volume,0.013420517706289731,0.00717188252039292
RQ3 Large Movement,Strict,Full,RBF SVC,1,spy_cum_volume_to_1500,SPY volume,0.04823992064650466,0.022541437365235714
RQ3 Large Movement,Strict,Full,RBF SVC,1,spy_volume_accel_60m_vs_avg,SPY volume,-0.01038635074604779,0.00727511081648386
RQ3 Large Movement,Strict,Full,RBF SVC,1,spy_dist_from_vwap_pct,Price position,-0.0017510974949036084,0.0011111856976553393
RQ3 Large Movement,Strict,Full,RBF SVC,1,position_in_day_range,Price position,-2.3168165422526865e-05,0.0006907303884268264
RQ3 Large Movement,Strict,Full,RBF SVC,1,dist_from_day_high_pct,Price position,0.02101795474346845,0.008720832596295098
RQ3 Large Movement,Strict,Full,RBF SVC,1,dist_from_day_low_pct,Price position,0.004880751159017515,0.0056694626989726715
RQ3 Large Movement,Strict,Full,RBF SVC,1,atr_pct_open_to_1500,True range,0.030313108558487428,0.01226733534920195
RQ3 Large Movement,Strict,Full,RBF SVC,2,ret_open_to_1500,SPX momentum,-0.0015503608123016682,0.001569306090402042
RQ3 Large Movement,Strict,Full,RBF SVC,2,ret_last_15m,SPX momentum,0.002709282774270139,0.011300873602362772
RQ3 Large Movement,Strict,Full,RBF SVC,2,ret_last_30m,SPX momentum,0.0013643869362098937,0.0052828424930109735
RQ3 Large Movement,Strict,Full,RBF SVC,2,ret_last_60m,SPX momentum,-0.001702309261334331,0.001355448859709808
RQ3 Large Movement,Strict,Full,RBF SVC,2,momentum_accel_60m_vs_prior,SPX momentum,0.0016728847990338663,0.0009869907196026822
RQ3 Large Movement,Strict,Full,RBF SVC,2,vix_level_1500,VIX,0.004722067161072455,0.0031696783792691495
RQ3 Large Movement,Strict,Full,RBF SVC,2,vix_ret_last_15m,VIX,0.0057375450589169956,0.011640295635437036
RQ3 Large Movement,Strict,Full,RBF SVC,2,vix_ret_last_30m,VIX,0.00470513193570142,0.005851398757470972
RQ3 Large Movement,Strict,Full,RBF SVC,2,vix_ret_last_60m,VIX,-0.0004100838681754815,0.002155218889908883
RQ3 Large Movement,Strict,Full,RBF SVC,2,realized_vol_30m,Realised volatility,0.0027939676203443896,0.006936363110435069
RQ3 Large Movement,Strict,Full,RBF SVC,2,realized_vol_60m,Realised volatility,0.0035748445522151145,0.012909815257393643
RQ3 Large Movement,Strict,Full,RBF SVC,2,realized_vol_120m,Realised volatility,0.0031325823627528864,0.011184690390396768
RQ3 Large Movement,Strict,Full,RBF SVC,2,rv_open_to_1500,Realised volatility,0.03940873164483892,0.019080847586677427
RQ3 Large Movement,Strict,Full,RBF SVC,2,spy_volume_last_30m,SPY volume,0.00727993071747855,0.017345993103013158
RQ3 Large Movement,Strict,Full,RBF SVC,2,spy_volume_last_60m,SPY volume,0.004822283852674911,0.02230381902461327
RQ3 Large Movement,Strict,Full,RBF SVC,2,spy_cum_volume_to_1500,SPY volume,0.05254922681063998,0.02135585024288831
RQ3 Large Movement,Strict,Full,RBF SVC,2,spy_volume_accel_60m_vs_avg,SPY volume,-0.0002247987640692367,0.011212578377820337
RQ3 Large Movement,Strict,Full,RBF SVC,2,spy_dist_from_vwap_pct,Price position,-0.0005733508475606136,0.001017986260719004
RQ3 Large Movement,Strict,Full,RBF SVC,2,position_in_day_range,Price position,-0.0009034959860541675,0.0011785860898079173
RQ3 Large Movement,Strict,Full,RBF SVC,2,dist_from_day_high_pct,Price position,0.024768080238736372,0.023098785869005076
RQ3 Large Movement,Strict,Full,RBF SVC,2,dist_from_day_low_pct,Price position,0.0062551414928584655,0.0031097334683902744
RQ3 Large Movement,Strict,Full,RBF SVC,2,atr_pct_open_to_1500,True range,0.04869391290450146,0.011578070359089225
RQ3 Large Movement,Strict,Full,RBF SVC,3,ret_open_to_1500,SPX momentum,0.0026647663261158915,0.0048819523496478065
RQ3 Large Movement,Strict,Full,RBF SVC,3,ret_last_15m,SPX momentum,0.010827100015367819,0.010922287130117163
RQ3 Large Movement,Strict,Full,RBF SVC,3,ret_last_30m,SPX momentum,-0.0014391331880746704,0.005568006522645128
RQ3 Large Movement,Strict,Full,RBF SVC,3,ret_last_60m,SPX momentum,0.0053992119258311376,0.005163580456394708
RQ3 Large Movement,Strict,Full,RBF SVC,3,momentum_accel_60m_vs_prior,SPX momentum,0.0034634789753065997,0.0026846116230064537
RQ3 Large Movement,Strict,Full,RBF SVC,3,vix_level_1500,VIX,0.010365360457642869,0.00854666877275591
