volume,vwap,open,close,high,low,timestamp_ms,transactions,timestamp,session_date,option_ticker,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode,spx_at_1500,rq1_prediction,rq1_confidence_percentile,rq2_predicted_move_bps,rq3_positive,ml_direction,mean_reversion_direction,actual_abs_move_bps,actual_signed_move_bps
1648,2.0851,1.7,1.55,2.5,1.55,1770238320000,672,2026-02-04 15:52:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
2450,2.0941,1.5,2.45,2.8,1.2,1770238380000,590,2026-02-04 15:53:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
2629,4.2021,2.55,4.8,5.8,2.2,1770238440000,998,2026-02-04 15:54:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
1013,5.9191,5.0,7.4,7.4,4.3,1770238500000,437,2026-02-04 15:55:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
1117,9.9652,7.5,8.6,11.32,7.4,1770238560000,267,2026-02-04 15:56:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
291,7.7064,9.1,8.0,9.1,6.5,1770238620000,95,2026-02-04 15:57:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
238,6.4529,7.25,5.55,7.8,5.4,1770238680000,76,2026-02-04 15:58:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
363,6.8908,4.84,7.2,9.8,3.6,1770238740000,155,2026-02-04 15:59:00-05:00,2026-02-04,O:SPXW260204P06890000,put,15,selected,O:SPXW260204P06890000,SPX,2026-02-04,6890,6889.85,6904.85,-14.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
269,7.4006,7.6,6.9,8.3,6.88,1770234900000,97,2026-02-04 14:55:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
203,6.6826,6.5,6.3,7.3,6.2,1770234960000,72,2026-02-04 14:56:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
62,5.6019,6.0,5.6,6.2,5.3,1770235020000,48,2026-02-04 14:57:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
134,5.578,5.45,5.7,5.9,5.2,1770235080000,68,2026-02-04 14:58:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
126,5.5717,5.47,5.1,6.2,5.1,1770235140000,57,2026-02-04 14:59:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
288,5.2348,5.2,6.6,6.6,4.5,1770235200000,145,2026-02-04 15:00:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
358,7.3591,6.6,8.0,8.01,6.58,1770235260000,164,2026-02-04 15:01:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
344,7.8043,7.6,8.3,8.5,6.9,1770235320000,152,2026-02-04 15:02:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
284,7.2916,8.02,6.0,8.02,5.9,1770235380000,90,2026-02-04 15:03:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
183,6.0526,5.7,6.5,6.9,5.6,1770235440000,64,2026-02-04 15:04:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
219,5.9941,6.8,6.4,6.8,5.6,1770235500000,62,2026-02-04 15:05:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
131,5.9124,5.9,5.9,6.4,5.5,1770235560000,72,2026-02-04 15:06:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
131,6.2531,5.85,6.4,6.6,5.7,1770235620000,62,2026-02-04 15:07:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
146,6.1282,6.04,6.2,6.6,5.6,1770235680000,66,2026-02-04 15:08:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
96,5.5581,5.9,5.5,6.0,5.1,1770235740000,54,2026-02-04 15:09:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
353,5.6056,5.0,6.15,6.2,4.9,1770235800000,97,2026-02-04 15:10:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
520,7.4013,6.2,9.2,9.2,6.2,1770235860000,211,2026-02-04 15:11:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
322,10.1573,9.0,9.8,11.0,8.8,1770235920000,163,2026-02-04 15:12:00-05:00,2026-02-04,O:SPXW260204P06895000,put,10,selected,O:SPXW260204P06895000,SPX,2026-02-04,6895,6894.85,6904.85,-9.850000000000364,european,100,XCBO,SPX,as_of,6904.85,0.0,0.7623762376237624,21.864479917945825,True,put,put,31.99200561923909,-31.99200561923909
