research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,position_in_day_range,Price position,-0.0013655904063335055,0.0017920795502106438
RQ3 Large Movement,Strict,Reduced,RBF SVC,2,atr_pct_open_to_1500,True range,0.040729342544102105,0.02080894226124015
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,ret_open_to_1500,SPX momentum,-0.015622467720411601,0.005363095579413449
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,ret_last_15m,SPX momentum,-0.07986144850124047,0.015210652971526673
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,ret_last_60m,SPX momentum,-0.006036750593327622,0.01403679204188444
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,momentum_accel_60m_vs_prior,SPX momentum,-0.021481286946395915,0.004907464850855738
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,vix_level_1500,VIX,0.00743400734258545,0.01290646775795611
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,vix_ret_last_15m,VIX,-0.08148678077569424,0.028630246762976767
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,vix_ret_last_60m,VIX,-0.013456832814170464,0.007721975295234831
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,realized_vol_30m,Realised volatility,-0.008915687195603308,0.02185330933540987
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,realized_vol_120m,Realised volatility,0.019587059507903647,0.013075573309678073
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,rv_open_to_1500,Realised volatility,0.04037609539131791,0.01668290124969442
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,spy_volume_last_60m,SPY volume,-0.005613090956699046,0.013711900488995685
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,spy_volume_accel_60m_vs_avg,SPY volume,-0.04636039883679668,0.013867998552588709
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,spy_dist_from_vwap_pct,Price position,-0.014479546672998334,0.011171097379193615
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,position_in_day_range,Price position,-0.0058899248543267555,0.010309740872325156
RQ3 Large Movement,Strict,Reduced,RBF SVC,3,atr_pct_open_to_1500,True range,0.05386827595289397,0.021287827934690987
