dataset,ticker,session_date,rows,file_path,status,message
stock_minute_1,SPY,2023-03-27,837,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-27\data.parquet,ok,
stock_minute_1,SPY,2023-03-28,829,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-28\data.parquet,ok,
stock_minute_1,SPY,2023-03-29,834,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-29\data.parquet,ok,
stock_minute_1,SPY,2023-03-30,857,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-30\data.parquet,ok,
stock_minute_1,SPY,2023-03-31,768,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-03-31\data.parquet,ok,
stock_minute_1,SPY,2023-04-03,855,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-03\data.parquet,ok,
stock_minute_1,SPY,2023-04-04,828,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-04\data.parquet,ok,
stock_minute_1,SPY,2023-04-05,809,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-05\data.parquet,ok,
stock_minute_1,SPY,2023-04-06,818,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-06\data.parquet,ok,
stock_minute_1,SPY,2023-04-07,0,,empty,No qualifying bars
stock_minute_1,SPY,2023-04-10,784,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-10\data.parquet,ok,
stock_minute_1,SPY,2023-04-11,797,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-11\data.parquet,ok,
stock_minute_1,SPY,2023-04-12,804,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-12\data.parquet,ok,
stock_minute_1,SPY,2023-04-13,834,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-13\data.parquet,ok,
stock_minute_1,SPY,2023-04-14,788,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-14\data.parquet,ok,
stock_minute_1,SPY,2023-04-17,805,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-17\data.parquet,ok,
stock_minute_1,SPY,2023-04-18,812,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-18\data.parquet,ok,
stock_minute_1,SPY,2023-04-19,857,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-19\data.parquet,ok,
stock_minute_1,SPY,2023-04-20,845,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-20\data.parquet,ok,
stock_minute_1,SPY,2023-04-21,764,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-04-21\data.parquet,ok,
